"DATE","AWAY_NAME","HOME_NAME","AWAY_2PA","AWAY_2PM","AWAY_3PA","AWAY_3PM","AWAY_FTA","AWAY_FTM","AWAY_TO","AWAY_ORB","AWAY_DRB","HOME_2PA","HOME_2PM","HOME_3PA","HOME_3PM","HOME_FTA","HOME_FTM","HOME_TO","HOME_ORB","HOME_DRB","AWAY_PTS_Q1","HOME_PTS_Q1","AWAY_PTS_Q2","HOME_PTS_Q2","AWAY_PTS_Q3","HOME_PTS_Q3","AWAY_PTS_Q4","HOME_PTS_Q4","AWAY_PTS_FINAL","HOME_PTS_FINAL"
20091103,"LAL","OKC",62,33,11,5,28,20,26,7,29,65,32,23,6,19,16,21,13,24,32,25,52,51,71,73,90,90,101,98
20091103,"MIL","CHI",71,32,20,4,10,5,12,10,34,63,24,11,5,31,20,19,14,39,25,13,43,29,60,56,81,83,81,83
20091103,"ORL","DET",44,19,35,10,16,12,15,10,32,66,27,6,0,38,31,10,9,35,14,19,41,38,60,60,80,85,80,85
20091103,"PHO","MIA",54,30,23,9,27,17,15,6,37,66,27,24,9,17,15,10,12,30,23,26,44,52,75,81,104,96,104,96
20091103,"UTA","DAL",71,30,11,4,20,13,14,8,29,68,27,18,7,23,21,17,15,35,20,17,37,35,67,52,85,96,85,96
20091103,"WAS","CLE",55,23,14,4,41,32,14,12,36,60,25,26,11,27,19,7,13,29,31,17,54,50,73,78,90,102,90,102
20091104,"ATL","SAC",69,40,16,6,19,15,17,12,35,81,35,15,5,27,20,8,19,24,26,24,56,55,83,87,113,105,113,105
20091104,"BOS","MIN",64,32,19,5,19,13,10,8,28,64,37,11,2,12,10,18,6,34,22,27,41,49,72,72,92,90,92,90
20091104,"DAL","NO",59,28,26,11,24,18,17,12,28,72,38,20,8,17,14,15,14,30,17,25,48,50,69,74,97,97,107,114
20091104,"DEN","NJ",65,34,18,10,31,24,15,9,37,77,33,15,2,28,22,14,17,31,22,23,50,51,94,77,122,94,122,94
20091104,"DET","TOR",66,29,17,8,25,17,11,11,34,52,25,24,8,47,36,6,14,31,28,24,56,68,77,85,99,110,99,110
20091104,"IND","NY",61,33,21,5,28,20,22,13,39,60,27,26,7,18,14,19,13,34,21,25,50,56,73,74,101,89,101,89
20091104,"LAL","HOU",78,34,15,5,28,20,9,17,31,62,32,24,7,24,17,20,17,37,22,22,44,48,73,74,92,92,103,102
20091104,"MEM","GS",71,36,9,3,36,24,18,13,33,75,40,12,7,17,12,14,7,28,29,19,56,57,80,90,105,113,105,113
20091104,"MIA","WAS",58,27,14,8,19,15,17,8,30,66,26,16,5,28,22,15,13,28,31,17,50,41,66,66,93,89,93,89
20091104,"PHO","ORL",66,33,22,7,20,13,18,16,28,65,34,23,12,24,18,15,14,33,25,29,52,58,78,92,100,122,100,122
20091105,"CHI","CLE",78,33,10,3,14,11,7,6,37,63,26,18,7,20,12,12,9,40,25,27,46,43,63,65,86,85,86,85
