"AWAY_2PA"	"AWAY_2PM"	"AWAY_3PA"	"AWAY_3PM"	"AWAY_FTA"	"AWAY_FTM"	"AWAY_TO"	"AWAY_ORB"	"AWAY_DRB"	"HOME_2PA"	"HOME_2PM"	"HOME_3PA"	"HOME_3PM"	"HOME_FTA"	"HOME_FTM"	"HOME_TO"	"HOME_ORB"	"HOME_DRB"	"WINNER"
"81"	57.6	25.4	21.2	8.8	29.2	20.8	13.4	12.2	31.4	62.75	27	19.25	6	26.25	21.25	14.5	13.75	29.25	"H"
"82"	64.2	31.8	15	4.2	29	22.8	16.2	10.4	31.8	58.4	29.4	16.6	4	33.8	26	16.2	9.6	32.4	"A"
"83"	64.4	29.4	17	6.6	27.8	22.2	10	12.4	31	64.6666666666667	29.3333333333333	16.3333333333333	8	28.6666666666667	21.6666666666667	15	12.6666666666667	38.3333333333333	"A"
"84"	65	29.4	15.8	6.4	22	17.8	12.4	10.4	31.2	57.25	26.75	22.25	7.75	18	11.75	10.5	10	32	"H"
"85"	63.6	27.8	14.8	6	27	20.2	18.6	13.2	29.2	66	31.6666666666667	12.6666666666667	3.66666666666667	24.3333333333333	18.6666666666667	15	9.33333333333333	33.3333333333333	"A"
"86"	78.6666666666667	31.6666666666667	7.66666666666667	3.33333333333333	22.6666666666667	17.6666666666667	16	11.3333333333333	30.6666666666667	54.75	25.5	27.75	11	24.5	19.5	17.5	11.5	30	"H"
"87"	54.5	26.5	25.5	8.5	26.5	18	13.5	7.5	39.5	62.6666666666667	29	17.6666666666667	4.33333333333333	29.3333333333333	23	15	13	30	"A"
"88"	68.25	29.75	14.75	5.5	17.5	15.25	17.75	13	33.5	59.25	29.25	23.5	7.5	26.25	19.75	13.25	10.75	33.25	"A"
"89"	55	29.4	15.8	6.6	32.4	24.8	16.4	6.6	32.4	67.75	36	13.75	5.5	23.75	18.5	14.75	10.75	31.75	"A"
"90"	59	25	20.2	9	23.6	18.6	11.8	10.8	25.4	55.5	26.25	19.25	7.25	23.25	18	14	9.25	30.5	"H"
"91"	64.75	31.75	15	4	21.5	16.5	16.25	12	30.5	53.8	25	16.8	5.4	26.8	20.6	15.4	9.4	26.8	"H"
"92"	63	31.3333333333333	15.6666666666667	4	31.3333333333333	23.3333333333333	14.6666666666667	8.66666666666667	25.6666666666667	55.25	27	21.25	8.5	29	21.5	15	10.25	27	"H"
"93"	63.75	29.5	14.25	4.5	27	19	18.75	13.5	34.5	71	33.5	12.25	3.75	23	16	13.25	11.5	31	"A"
"94"	69.75	30.5	20.5	6	27.75	18.5	16	15.75	29.25	62.8333333333333	28	18	6	23.5	15.8333333333333	15.5	10.8333333333333	27.6666666666667	"A"
"95"	59.6666666666667	30.3333333333333	17.3333333333333	6.66666666666667	21.6666666666667	19	19.3333333333333	11	29	67.8333333333333	31.1666666666667	14.5	5.5	29.8333333333333	22.3333333333333	13	14.6666666666667	31	"H"
"96"	54	24.6666666666667	20.6666666666667	8.33333333333333	21.3333333333333	15.3333333333333	15	8.66666666666667	29	63.5	31.5	22.5	10	12	9.5	12.5	10.5	30.5	"A"
"97"	55.6666666666667	26.3333333333333	23	10.3333333333333	24.6666666666667	18	14.6666666666667	9.66666666666667	27.6666666666667	59.6666666666667	24	20.3333333333333	6	28	24	13.6666666666667	12	32.6666666666667	"H"
"98"	80.5	34.5	7.5	2.75	23	17.5	16	11.5	33	69.5	34	11.75	4.75	26.5	19	17.25	14	34.5	"H"
